category,CodedMonth,Month,Year,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,latitude,longitude,id
2,2017-03,3,2017,3/8/17 16:45,64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",0,CHOUTEAU AVE / S LEONOR K SULL,20, ,ALIAS S L K SULLIVAN/CHOUTEAU AVE CI, , ,38.61497417,-90.1879446,481
3,2017-03,3,2017,3/8/17 16:47,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2035,HOWARD ST,60, , ,2035,HOWARD,38.64615199,-90.20624052,482
6,2017-03,3,2017,3/8/17 16:50,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",200,S TUCKER BLVD,35, ,@CJC,200,TUCKER,38.62562578,-90.19848895,483
3,2017-03,3,2017,3/8/17 16:50,41013,5,"AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE",3938,KENNERLY AVE,56, , ,2251,JEFFERSON,38.65700417,-90.22914095,484
6,2017-03,3,2017,3/8/17 18:00,142320,2,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4201,LAFAYETTE AVE,28, , ,4201,LAFAYETTE,38.6187111,-90.2533978,485
2,2017-03,3,2017,3/8/17 18:00,71030,4,"AUTO THEFT-PERM RETNT/JOY RIDE",0,N 17TH ST / PINE ST,36, , , , ,38.63054545,-90.20454654,486
2,2017-03,3,2017,3/8/17 18:00,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",470,LAKE AVE,38, , ,470,LAKE,38.64967179,-90.26979541,487
3,2017-03,3,2017,3/8/17 18:00,91113,2,"SIMPLE ASSAULT-ADULT/NO INJURY",4383,CHIPPEWA ST,15, ,APT F,4383,CHIPPEWA,38.59115581,-90.26686465,488
2,2017-03,3,2017,3/8/17 18:00,71030,3,"AUTO THEFT-PERM RETNT/JOY RIDE",2203,OREGON AVE,24, , ,2203,OREGON,38.61038847,-90.22752272,489
2,2017-03,3,2017,3/8/17 18:00,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4140,CLEVELAND AVE,27, , ,4140,CLEVELAND,38.61137294,-90.25290286,490
2,2017-03,3,2017,3/8/17 18:00,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5066,WESTMINSTER PL,38, , ,5066,WESTMINSTER,38.64972389,-90.26698276,491
2,2017-03,3,2017,3/8/17 18:20,69603,4,"LARC-ALL OTH/FRM PRSN/$500 - $24,999",0,BIDDLE ST / N LEONOR K SULLIVA,64, ,BIDDLE STREET TRAIL HEAD PARKING LOT, , ,38.63528484,-90.18150245,492
6,2017-03,3,2017,3/8/17 18:30,142320,1,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",930,HOLLY HILLS AVE,80,YMCA, ,930,HOLLY HILLS,38.56095318,-90.25649383,493
2,2017-03,3,2017,3/8/17 18:30,65701,6,"LARCENY-MTR VEH PARTS UNDER $500",4954,ARLINGTON AVE,71, , ,4954,ARLINGTON,38.69116453,-90.24947117,494
2,2017-03,3,2017,3/8/17 19:00,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5122,WASHINGTON PL,38, , ,5122,WASHINGTON,38.65063793,-90.26819102,495
2,2017-03,3,2017,3/8/17 19:12,63701,1,"LARCENY-SHOPLIFT UNDER $500",1020,LOUGHBOROUGH AVE,1,SCHNUCKS,SUPERMARKET,1020,LOUGHBOROUGH,38.55744701,-90.26163103,496
2,2017-03,3,2017,3/8/17 19:30,64701,1,"LARCENY-FROM MTR VEH UNDER $500",0,S GRAND BLVD / TAFT AVE,16, , , , ,38.57693938,-90.2472176,497
2,2017-03,3,2017,3/8/17 19:30,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4164,WEST PINE BLVD,38, , ,4164,WEST PINE,38.63861167,-90.24865152,498
2,2017-03,3,2017,3/8/17 19:30,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5723,LABADIE AVE,50, , ,5723,LABADIE,38.68020255,-90.27211406,499
2,2017-03,3,2017,3/8/17 20:00,71013,6,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",4425,HARRIS AVE,68, , ,4425,HARRIS,38.67514163,-90.22477008,500
2,2017-03,3,2017,3/8/17 20:00,65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",5924,ARENDES DR,3, , ,5924,ARENDES,38.56736401,-90.26068365,501
2,2017-03,3,2017,3/8/17 20:00,51212,1,"BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED",4235,GERTRUDE AVE,5, , ,4231,GERTRUDE,38.57676732,-90.26698742,502
2,2017-03,3,2017,3/8/17 20:00,64701,2,"LARCENY-FROM MTR VEH UNDER $500",0,KLEMM ST / LAFAYETTE AVE,28, , ,4201,LAFAYETTE,38.61854842,-90.2530788,503
2,2017-03,3,2017,3/8/17 20:30,64711,2,"LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT",4040,FLAD AVE,27, , ,4040,FLAD,38.61200135,-90.25012785,504
2,2017-03,3,2017,3/8/17 21:00,52312,3,"BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED",2309,CHEROKEE ST,18,DREW HENRY SALON AND GALLERY, ,2309,CHEROKEE,38.59343945,-90.22469709,505
2,2017-03,3,2017,3/8/17 21:00,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5148,WASHINGTON PL,38, , ,5148,WASHINGTON,38.650722,-90.26904795,506
2,2017-03,3,2017,3/8/17 21:00,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5267,WASHINGTON PL,38, , ,5267,WASHINGTON,38.65166179,-90.2722003,507
2,2017-03,3,2017,3/8/17 21:00,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",5374,RUSKIN AVE,71, , ,5374,RUSKIN,38.69140671,-90.24089661,508
2,2017-03,3,2017,3/8/17 21:00,71013,3,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",3221,MICHIGAN AVE,30, , ,3221,MICHIGAN,38.59755293,-90.23543922,509
2,2017-03,3,2017,3/8/17 21:16,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3510,MIAMI ST,19, , ,3510,MIAMI,38.59147026,-90.24263856,510
3,2017-03,3,2017,3/8/17 21:19,42013,6,"AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE",4218,LINTON AVE,67, , ,4218,LINTON,38.66962045,-90.21819415,511
2,2017-03,3,2017,3/8/17 21:30,51211,5,"BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED",5568,COTE BRILLIANTE AVE,50, , ,5568,COTE BRILLIANTE,38.67139412,-90.27374235,512
2,2017-03,3,2017,3/8/17 21:30,64701,4,"LARCENY-FROM MTR VEH UNDER $500",811,N 9TH ST,35, ,@HOTEL- HOLIDAY INN SELECT,811,9TH,38.6329908,-90.1923384,513
2,2017-03,3,2017,3/8/17 21:30,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5233,VERNON AVE,51, , ,5233,VERNON,38.65907586,-90.27085304,514
3,2017-03,3,2017,3/8/17 22:00,91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4431,ARCO AVE,39, , ,4431,ARCO,38.62862859,-90.25961865,515
2,2017-03,3,2017,3/8/17 22:20,64701,5,"LARCENY-FROM MTR VEH UNDER $500",5750,NATURAL BRIDGE AVE,50,GULF,GAS STATION,5750,NATURAL BRIDGE,38.68550832,-90.2710634,516
2,2017-03,3,2017,3/8/17 22:30,72113,5,"AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR",2627,BELLE GLADE AVE,57, , ,2627,BELLE GLADE,38.65886626,-90.23408616,517
2,2017-03,3,2017,3/8/17 22:30,71030,3,"AUTO THEFT-PERM RETNT/JOY RIDE",3530,JUNIATA ST,25, , ,3530,JUNIATA,38.60085456,-90.24080435,518
1,2017-03,3,2017,3/8/17 22:36,10000,6,"HOMICIDE",5746,ACME AVE,76, , ,6301,FLORISSANT,38.7127806,-90.25618148,519
2,2017-03,3,2017,3/8/17 23:00,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5116,WASHINGTON PL,38, , ,5116,WASHINGTON,38.65061833,-90.26799989,520
3,2017-03,3,2017,3/8/17 23:10,91113,5,"SIMPLE ASSAULT-ADULT/NO INJURY",509,S EUCLID AVE,38, , ,509,EUCLID,38.63599452,-90.2629861,521
2,2017-03,3,2017,3/8/17 23:30,64711,2,"LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT",4177,CLEVELAND AVE,27, , ,4177,CLEVELAND,38.61197662,-90.25400462,522
3,2017-03,3,2017,3/8/17 23:50,42011,5,"AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE",1745,MARCUS AVE,55, , ,1907,MARCUS,38.66262665,-90.25215843,523
2,2017-03,3,2017,3/9/17 0:15,67701,5,"LARCENY-FROM BUILDING UNDER $500",408,N EUCLID AVE,38,CLUB VIVA, , , ,38.6485854,-90.26070994,524
2,2017-03,3,2017,3/9/17 0:30,64701,5,"LARCENY-FROM MTR VEH UNDER $500",4230,N MARKET ST E,57, , ,4230,MARKET,38.65715119,-90.23701243,525
2,2017-03,3,2017,3/9/17 0:50,51212,2,"BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED",3865,FLORA PL,27, , ,3865,FLORA,38.613257,-90.24538194,526
2,2017-03,3,2017,3/9/17 1:00,71013,1,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",446,WILMINGTON AVE,1, ,APT 1,446,WILMINGTON,38.56160214,-90.24784594,527
3,2017-03,3,2017,3/9/17 1:35,41021,3,"AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE",3400,TENNESSEE AVE,30,GRAVOIS PARK, , , ,38.59541626,-90.24019409,528
4,2017-03,3,2017,3/9/17 2:29,83000,5,"ARSON-KNOWINGLY BURNING/SUCCESS",5356,NORTHLAND AVE,50, ,ALLEY,5356,NORTHLAND,38.67195244,-90.26583015,529
6,2017-03,3,2017,3/9/17 3:40,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",208,N 9TH ST,35, ,APT 518,208,9TH,38.6282495,-90.19372667,530
2,2017-03,3,2017,3/9/17 6:30,51122,6,"BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED",4207,ATHLONE AVE,68, , ,4207,ATHLONE,38.67403439,-90.22919798,531
2,2017-03,3,2017,3/9/17 7:00,65701,3,"LARCENY-MTR VEH PARTS UNDER $500",0,ARSENAL ST / I 55 SOUTHBOUND,22, , ,4718,COMPTON,38.5968147,-90.21571656,532
2,2017-03,3,2017,3/9/17 7:30,64711,6,"LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT",4140,SAN FRANCISCO AVE,68, , ,4140,SAN FRANCISCO,38.66830952,-90.22934038,533
7,2017-03,3,2017,3/9/17 7:31,151110,6,"WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION",5009,THRUSH AVE,72, , ,5009,THRUSH,38.69641926,-90.25291712,534
2,2017-03,3,2017,3/9/17 8:00,51312,6,"BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED",4723,CARTER AVE,69, , ,4723,CARTER,38.68134315,-90.23849157,535
3,2017-03,3,2017,3/9/17 8:00,42012,3,"AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE",3933,S BROADWAY,16, , ,3933,BROADWAY,38.58351018,-90.22823827,536
3,2017-03,3,2017,3/9/17 8:10,43016,1,"ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC",7717,WATER ST,2, , ,7717,WATER,38.54589208,-90.25844606,537
2,2017-03,3,2017,3/9/17 8:15,65701,5,"LARCENY-MTR VEH PARTS UNDER $500",5047,WASHINGTON PL,38,RELIGIOUS SISTERS OF MERCY, ,5047,WASHINGTON,38.65098124,-90.26547052,538
7,2017-03,3,2017,3/9/17 8:25,151110,3,"WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION",2600,OSAGE ST,18, , , , ,38.58285186,-90.22736267,539
2,2017-03,3,2017,3/9/17 10:00,64701,5,"LARCENY-FROM MTR VEH UNDER $500",250,DE BALIVIERE AVE,47,METROLINK PARKING LOT, ,250,DE BALIVIERE,38.64777014,-90.2848877,540
7,2017-03,3,2017,3/9/17 10:40,151110,4,"WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION",4206,N GRAND BLVD,67, ,@HOTEL- ECONOMY INN,4206,GRAND,38.6667038,-90.21234884,541
5,2017-03,3,2017,3/9/17 10:50,115400,2,"STLG BY DECEIT/IDENTITY THEFT REPORT",3157,SUBLETTE AVE,13, ,@SOUTH PATROL DIVISION,3157,SUBLETTE,38.6038873,-90.28179235,542
8,2017-03,3,2017,3/9/17 10:54,250000,4,"LOITERING-BEGGING",711,N 13TH ST,36, ,NEAR SHELL GAS STATION, , ,38.63251467,-90.19718652,543
8,2017-03,3,2017,3/9/17 11:15,250000,4,"LOITERING-BEGGING",0,I 64 EASTBOUND / S JEFFERSON A,36, ,ALIAS EB 40/S JEFFERSON AVE CITY, , ,38.62702261,-90.2179696,544
8,2017-03,3,2017,3/9/17 11:16,250000,2,"LOITERING-BEGGING",0,I 44 EASTBOUND / S VANDEVENTER,13, , , , ,38.61876283,-90.25978668,545
8,2017-03,3,2017,3/9/17 11:25,250000,3,"LOITERING-BEGGING",0,S GRAND BLVD / I 44 EASTBOUND,26, , , , ,38.61668403,-90.23920355,546
3,2017-03,3,2017,3/9/17 11:45,41011,5,"AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE",4623,VERNON AVE,54, , , , ,38.6570142,-90.25354563,547
8,2017-03,3,2017,3/9/17 12:10,250000,3,"LOITERING-BEGGING",3600,S GRAND BLVD,19, , , , ,38.59159328,-90.24364331,548
8,2017-03,3,2017,3/9/17 12:15,250000,2,"LOITERING-BEGGING",0,HAMPTON AVE / I 44 EASTBOUND,11, , , , ,38.61883966,-90.28819178,549
2,2017-03,3,2017,3/9/17 12:43,71013,3,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",3522,WISCONSIN AVE,18, , ,3522,WISCONSIN,38.59016623,-90.2211913,550
2,2017-03,3,2017,3/9/17 13:00,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",80,WILLMORE RD,8, , ,80,WILLMORE,38.57625739,-90.30530889,551
2,2017-03,3,2017,3/9/17 13:00,67701,3,"LARCENY-FROM BUILDING UNDER $500",2122,CHIPPEWA ST,18, , ,2122,CHIPPEWA,38.5855608,-90.22445989,552
2,2017-03,3,2017,3/9/17 14:00,65701,3,"LARCENY-MTR VEH PARTS UNDER $500",3203,HALLIDAY AVE,25, , ,3203,HALLIDAY,38.60480662,-90.23496992,553
2,2017-03,3,2017,3/9/17 14:00,65701,1,"LARCENY-MTR VEH PARTS UNDER $500",116,E COURTOIS ST,2, , ,116,COURTOIS,38.54544534,-90.25899266,554
2,2017-03,3,2017,3/9/17 15:00,71013,5,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",0,BELT AVE / DELMAR BLVD,47, , ,5461,DELMAR,38.65359978,-90.2790307,555
7,2017-03,3,2017,3/9/17 15:10,152200,4,"WEAPONS-CITY VIOL/DISCHRGING IN CITY",2607,CASS AVE,59, ,2600 BLOCK - 2700 BLOCK,3035,CASS,38.64580964,-90.21323631,556
6,2017-03,3,2017,3/9/17 15:18,142320,6,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4676,W FLORISSANT AVE,71, , ,4676,FLORISSANT,38.68490442,-90.2311574,557
6,2017-03,3,2017,3/9/17 15:20,142320,2,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4240,MANCHESTER AVE,39, , ,4240,MANCHESTER,38.62688221,-90.25565493,558
6,2017-03,3,2017,3/9/17 15:30,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",3502,ARSENAL ST,25, , ,3502,ARSENAL,38.60219049,-90.24020082,559
2,2017-03,3,2017,3/9/17 15:50,61601,4,"LARCENY-PICKPOCKET $500-$24,999",0,S 18TH ST / CLARK AVE,36,METRO BUS STATION, , , ,38.62698196,-90.20701675,560
2,2017-03,3,2017,3/9/17 16:30,64701,5,"LARCENY-FROM MTR VEH UNDER $500",225,N EUCLID AVE,38,ARGYLE PARKING GARAGE, ,225,EUCLID,38.64422175,-90.26186238,561
2,2017-03,3,2017,3/9/17 17:00,71040,2,"AUTO THEFT-PERM RETNT/ATTEMPT",6984,CHIPPEWA ST,8,PM SOLUTIONS, ,6984,CHIPPEWA,38.58728286,-90.31199951,562
2,2017-03,3,2017,3/9/17 17:00,51312,2,"BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED",4469,BECK AVE,15, , ,4469,BECK,38.59235527,-90.26937571,563
2,2017-03,3,2017,3/9/17 17:13,64701,4,"LARCENY-FROM MTR VEH UNDER $500",1114,MARKET ST,35,CARNAHAN COURTHOUSE,@DISTRICT COURT,1420,MARKET,38.62681546,-90.19769566,564
3,2017-03,3,2017,3/9/17 17:23,91113,6,"SIMPLE ASSAULT-ADULT/NO INJURY",5400,RUSKIN AVE,71, , ,5100,AUBERT,38.69195524,-90.24060348,565
6,2017-03,3,2017,3/9/17 18:00,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4314,N GRAND BLVD,67,FAMILY DOLLAR, , , ,38.66825637,-90.21169537,566
6,2017-03,3,2017,3/9/17 18:10,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",3148,NEBRASKA AVE,30, , ,3148,NEBRASKA,38.59925876,-90.23088828,567
3,2017-03,3,2017,3/9/17 18:30,91113,3,"SIMPLE ASSAULT-ADULT/NO INJURY",2016,JAMES ST,22, , ,2016,JAMES,38.60536409,-90.21738776,568
2,2017-03,3,2017,3/9/17 19:00,71013,4,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",3509,SULLIVAN AVE,59, , ,3509,SULLIVAN,38.65821554,-90.21770549,569
6,2017-03,3,2017,3/9/17 19:00,142320,2,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4570,MANCHESTER AVE,39, , ,4570,MANCHESTER,38.62569419,-90.26415344,570
8,2017-03,3,2017,3/9/17 19:02,250000,4,"LOITERING-BEGGING",300,CARR ST,35, , , , ,38.63400988,-90.18524382,571
3,2017-03,3,2017,3/9/17 19:22,41011,5,"AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE",5745,DELMAR BLVD,48,BP GAS STATION,OUTSIDE ON THE PARKING LOT, , ,38.65450307,-90.2863597,572
6,2017-03,3,2017,3/9/17 20:00,142320,6,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",5356,EMERSON AVE,71, , ,5356,EMERSON,38.69477637,-90.24484934,573
2,2017-03,3,2017,3/9/17 20:02,31111,5,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",605,CLARA AVE,47, , , , ,38.65256603,-90.28274431,574
8,2017-03,3,2017,3/9/17 20:15,250000,3,"LOITERING-BEGGING",2604,CHEROKEE ST,19, , , , ,38.59362216,-90.22532444,575
2,2017-03,3,2017,3/9/17 20:15,31111,5,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",533,CLARA AVE,47, ,APT 11,533,CLARA,38.65215152,-90.28280929,576
2,2017-03,3,2017,3/9/17 20:19,64701,2,"LARCENY-FROM MTR VEH UNDER $500",1515,HAMPTON AVE,42, ,@DENNYS - HAMPTON,1515,HAMPTON,38.62362378,-90.28858724,577
8,2017-03,3,2017,3/9/17 20:23,250000,4,"LOITERING-BEGGING",700,WASHINGTON AVE,35, , ,700,WASHINGTON,38.63022529,-90.19115615,578
8,2017-03,3,2017,3/9/17 20:30,250000,3,"LOITERING-BEGGING",2600,UTAH ST,22, , , , ,38.59538919,-90.22475157,579
6,2017-03,3,2017,3/9/17 20:40,142320,2,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",0,S BOYLE AVE / GIBSON AVE,39, , , , ,38.62812603,-90.2543037,580
6,2017-03,3,2017,3/9/17 20:55,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",3259,N 20TH ST,65, , ,3259,20TH,38.65670875,-90.20140291,581
6,2017-03,3,2017,3/9/17 21:15,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",3500,NEBRASKA AVE,19, , , , ,38.59219136,-90.23236492,582
2,2017-03,3,2017,3/9/17 21:25,69703,4,"LARCENY-ALL OTH/FRM PRSN/UNDER $500",801,MARKET ST,35, ,BUS STOP, , ,38.62664599,-90.19376955,583
2,2017-03,3,2017,3/9/17 22:00,72113,3,"AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR",2900,PARK AVE,31, , ,2900,PARK,38.61885168,-90.22646132,584
3,2017-03,3,2017,3/9/17 22:00,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",6133,LILLIAN AVE,76, , ,6133,LILLIAN,38.70098992,-90.26157542,585
2,2017-03,3,2017,3/9/17 22:00,71013,4,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",3814,N 23RD ST,65, , ,3814,23RD,38.65989809,-90.20736878,586
2,2017-03,3,2017,3/9/17 22:00,65701,4,"LARCENY-MTR VEH PARTS UNDER $500",2940,JAMES COOL PAPA BELL AVE,59, , ,2940,JAMES COOL PAPA BELL,38.64269078,-90.21909933,587
2,2017-03,3,2017,3/9/17 22:30,69702,3,"LARCENY-ALL OTHER UNDER $500",3416,MAGNOLIA AVE,25, , ,3416,MAGNOLIA,38.60555966,-90.23770021,588
2,2017-03,3,2017,3/9/17 23:00,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",720,N 3RD ST,35, , ,721,2ND,38.63088231,-90.1852533,589
2,2017-03,3,2017,3/9/17 23:15,52212,2,"BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE",5147,SHAW AVE,12,SHAW S COFFEE, , , ,38.61815876,-90.27215826,590
2,2017-03,3,2017,3/9/17 23:30,31111,1,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3400,MERAMEC ST,16, , , , ,38.58043633,-90.24230607,591
3,2017-03,3,2017,3/9/17 23:40,41011,5,"AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE",5342,MAFFITT AVE,50, , ,5342,MAFFITT,38.67285617,-90.26462227,592
6,2017-03,3,2017,3/9/17 23:50,142320,1,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",506,SCHIRMER ST,2, ,1ST FL,506,SCHIRMER,38.54912635,-90.26264737,593
2,2017-03,3,2017,3/10/17 0:31,52212,2,"BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE",5708,OAKLAND AVE,41, ,#1137878,5708,OAKLAND,38.62970704,-90.28315532,594
2,2017-03,3,2017,3/10/17 0:35,32111,6,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",4726,FARLIN AVE,69, ,HOME,4726,FARLIN,38.67638063,-90.24314045,595
6,2017-03,3,2017,3/10/17 0:40,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",1937,CHIPPEWA ST,18, , ,1937,CHIPPEWA,38.58581301,-90.22196206,596
2,2017-03,3,2017,3/10/17 1:38,31111,2,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",0,S NEWSTEAD AVE / VISTA AVE,39, , , , ,38.62399214,-90.25897361,597
2,2017-03,3,2017,3/10/17 1:48,52212,2,"BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE",1136,TAMM AVE,42,NORA S DELI, ,1136,TAMM,38.62889496,-90.29263419,598
2,2017-03,3,2017,3/10/17 4:20,72113,1,"AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR",7828,IVORY AVE,2, , ,7828,IVORY,38.54818345,-90.26430719,599
2,2017-03,3,2017,3/10/17 6:00,51322,1,"BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED",4192,MERAMEC ST,5, , ,4192,MERAMEC,38.58954356,-90.26122616,600
2,2017-03,3,2017,3/10/17 6:00,67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6369,MANCHESTER AVE,42, , ,6369,MANCHESTER,38.62164793,-90.29388434,601
2,2017-03,3,2017,3/10/17 7:15,51112,6,"BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED",4558,EMERSON AVE,71, , ,4558,EMERSON,38.69049315,-90.25268945,602
2,2017-03,3,2017,3/10/17 7:30,65701,6,"LARCENY-MTR VEH PARTS UNDER $500",1415,E GRAND BLVD,66, ,APT A,1415,GRAND,38.67240705,-90.20572974,603
2,2017-03,3,2017,3/10/17 7:45,51112,2,"BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED",4118,POTOMAC ST,15, ,UNIT 1,4118,POTOMAC,38.59482947,-90.25721358,604
2,2017-03,3,2017,3/10/17 8:30,69702,6,"LARCENY-ALL OTHER UNDER $500",8649,OXFORD LN,73, , ,8649,OXFORD,38.71845815,-90.25053185,605
2,2017-03,3,2017,3/10/17 9:00,67701,2,"LARCENY-FROM BUILDING UNDER $500",6576,SMILEY AVE,9,GATEWAY SCIENCE ACADEMY OF ST LOUIS, ,6579,SMILEY,38.606648,-90.30247409,606
2,2017-03,3,2017,3/10/17 9:26,69702,3,"LARCENY-ALL OTHER UNDER $500",3617,IOWA AVE,19, , ,3617,IOWA,38.58959116,-90.2300616,607
5,2017-03,3,2017,3/10/17 9:42,112020,1,"FRAUD-CREDIT DEVICE/UNDER $150",8315,S BROADWAY,2, , ,8315,BROADWAY,38.5422952,-90.26426662,608
2,2017-03,3,2017,3/10/17 10:00,52112,5,"BURGLARY-BUSINESS/DAY/FORCE ENT/UNOCCUPIED",1644,SEMPLE AVE,50,ST. JAMES,CHURCH,1644,SEMPLE,38.66969033,-90.27024269,609
6,2017-03,3,2017,3/10/17 10:00,142320,5,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",1424,BLACKSTONE AVE,78, , ,1424,BLACKSTONE,38.66904508,-90.27880425,610
2,2017-03,3,2017,3/10/17 10:30,67701,3,"LARCENY-FROM BUILDING UNDER $500",1655,S JEFFERSON AVE,31,MIDWEST PETROLEUM MART, ,1655,JEFFERSON,38.61506126,-90.2213634,611
2,2017-03,3,2017,3/10/17 12:00,65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",5505,DEWEY AVE,3, , ,5507,NAGEL,38.57148094,-90.25691791,612
2,2017-03,3,2017,3/10/17 12:00,67701,2,"LARCENY-FROM BUILDING UNDER $500",4349,ARCO AVE,39, , ,4349,ARCO,38.6282607,-90.25831732,613
2,2017-03,3,2017,3/10/17 12:00,69702,1,"LARCENY-ALL OTHER UNDER $500",163,RIVER CITY BLVD,1, , ,163,RIVER CITY,38.55057625,-90.27191607,614
7,2017-03,3,2017,3/10/17 12:56,151130,6,"WEAPONS-STATE VIOL/UNLWFL USE/CARRYING",0,I 70 WESTBOUND / N KINGSHIGHWA,84, ,4400 N KINGSHIGHWAY, , ,38.68633978,-90.24555581,615
2,2017-03,3,2017,3/10/17 14:00,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",700,LUCAS AVE,35,ST. LOUIS PARKING LOT,SOUTH WEST SIDE OF THE PARKING LOT,727,1ST,38.6310237,-90.19090732,616
2,2017-03,3,2017,3/10/17 14:00,51121,5,"BURGLARY-RESIDENCE/DAY/UNLAW ENT/OCCUPIED",1292,HAMILTON AVE,48, , ,1292,HAMILTON,38.66807023,-90.28615967,617
