	app_mode	app_phase	app_type	input_data	interaction_type	output_data	participant_id	processed_at	sid
0	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318035470, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'gender', 'value': 'Female', 'eventX': 42, 'eventY': 210}}	filter_changed		lPpxNz1aVtYh	1584318035474	27f9a27faf3e4407b084be39d17645bf
1	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318039091, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'party', 'value': 'Republican', 'eventX': 42, 'eventY': 296}}	filter_changed		lPpxNz1aVtYh	1584318039093	27f9a27faf3e4407b084be39d17645bf
2	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318061160, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'age', 'value': [30, 50], 'eventX': None, 'eventY': None}}	filter_changed		lPpxNz1aVtYh	1584318061162	27f9a27faf3e4407b084be39d17645bf
3	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318067205, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'age', 'value': [30, 60], 'eventX': None, 'eventY': None}}	filter_changed		lPpxNz1aVtYh	1584318067207	27f9a27faf3e4407b084be39d17645bf
4	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'axes_attribute_changed', 'interactionDuration': 0, 'interactionAt': 1584318079686, 'participantId': 'lPpxNz1aVtYh', 'data': {'axisChanged': 'y_axis', 'x': '', 'y': 'gender', 'size': 'NA', 'eventX': 293.5, 'eventY': 314}}	axes_attribute_changed		lPpxNz1aVtYh	1584318079688	27f9a27faf3e4407b084be39d17645bf
5	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'axes_attribute_changed', 'interactionDuration': 0, 'interactionAt': 1584318083929, 'participantId': 'lPpxNz1aVtYh', 'data': {'axisChanged': 'x_axis', 'x': 'policy_strength_ban_abortion_after_6_weeks', 'y': 'gender', 'size': 'NA', 'eventX': 695, 'eventY': 580.59375}}	axes_attribute_changed		lPpxNz1aVtYh	1584318083931	27f9a27faf3e4407b084be39d17645bf
6	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318095078, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'party', 'value': 'all', 'eventX': 42, 'eventY': 296}}	filter_changed		lPpxNz1aVtYh	1584318095080	27f9a27faf3e4407b084be39d17645bf
7	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318103533, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'gender', 'value': 'all', 'eventX': 42, 'eventY': 210}}	filter_changed		lPpxNz1aVtYh	1584318103534	27f9a27faf3e4407b084be39d17645bf
8	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318111759, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'gender', 'value': 'Female', 'eventX': 42, 'eventY': 210}}	filter_changed		lPpxNz1aVtYh	1584318111761	27f9a27faf3e4407b084be39d17645bf
9	live	phase_1	CONTROL	{'appMode': 'live', 'appType': 'CONTROL', 'appPhase': 'phase_1', 'interactionType': 'filter_changed', 'interactionDuration': 0, 'interactionAt': 1584318120992, 'participantId': 'lPpxNz1aVtYh', 'data': {'attribute': 'occupation', 'value': 'Doctor', 'eventX': 42, 'eventY': 382}}	filter_changed		lPpxNz1aVtYh	1584318120993	27f9a27faf3e4407b084be39d17645bf
